seccion,g_etario,sexo,n,Localidad,pct,encuestas
965,25 a 59,HOMBRES,898,EL DESIERTO,0.34261732163296454,10
965,25 a 59,MUJERES,897,EL DESIERTO,0.34223578786722625,10
965,60 y más,HOMBRES,195,EL DESIERTO,0.07439908431896222,2
965,60 y más,MUJERES,156,EL DESIERTO,0.059519267455169785,2
968,18 a 24,HOMBRES,200,NUEVO YAJALON,0.10147133434804667,3
968,18 a 24,MUJERES,167,NUEVO YAJALON,0.08472856418061897,3
968,25 a 59,HOMBRES,651,NUEVO YAJALON,0.3302891933028919,10
968,25 a 59,MUJERES,660,NUEVO YAJALON,0.334855403348554,10
968,60 y más,HOMBRES,147,NUEVO YAJALON,0.0745814307458143,2
968,60 y más,MUJERES,146,NUEVO YAJALON,0.07407407407407407,2
1010,18 a 24,HOMBRES,180,PIJIJIAPAN,0.0797872340425532,2
1010,18 a 24,MUJERES,166,PIJIJIAPAN,0.07358156028368794,2
1010,25 a 59,HOMBRES,692,PIJIJIAPAN,0.3067375886524823,9
1010,25 a 59,MUJERES,794,PIJIJIAPAN,0.3519503546099291,11
1010,60 y más,HOMBRES,189,PIJIJIAPAN,0.08377659574468085,3
1010,60 y más,MUJERES,235,PIJIJIAPAN,0.10416666666666667,3
1013,18 a 24,HOMBRES,65,PIJIJIAPAN,0.08597883597883597,3
1013,18 a 24,MUJERES,45,PIJIJIAPAN,0.05952380952380952,2
1013,25 a 59,HOMBRES,228,PIJIJIAPAN,0.30158730158730157,9
1013,25 a 59,MUJERES,284,PIJIJIAPAN,0.37566137566137564,11
1013,60 y más,HOMBRES,73,PIJIJIAPAN,0.09656084656084656,3
1013,60 y más,MUJERES,61,PIJIJIAPAN,0.08068783068783068,2
1016,18 a 24,HOMBRES,97,EJIDO TAMAULIPAS ESTACION JOAQUIN AMARO,0.08637577916295637,3
1016,18 a 24,MUJERES,104,EJIDO TAMAULIPAS ESTACION JOAQUIN AMARO,0.09260908281389137,3
1016,25 a 59,HOMBRES,341,EJIDO TAMAULIPAS ESTACION JOAQUIN AMARO,0.30365093499554763,9
1016,25 a 59,MUJERES,365,EJIDO TAMAULIPAS ESTACION JOAQUIN AMARO,0.3250222617987533,10
1016,60 y más,HOMBRES,123,EJIDO TAMAULIPAS ESTACION JOAQUIN AMARO,0.10952804986642921,3
1016,60 y más,MUJERES,93,EJIDO TAMAULIPAS ESTACION JOAQUIN AMARO,0.08281389136242208,2
1017,18 a 24,HOMBRES,115,NUEVO MILENIO SANTA CRUZ,0.0705521472392638,2
1017,18 a 24,MUJERES,120,NUEVO MILENIO SANTA CRUZ,0.0736196319018405,2
1017,25 a 59,HOMBRES,485,NUEVO MILENIO SANTA CRUZ,0.29754601226993865,9
1017,25 a 59,MUJERES,527,NUEVO MILENIO SANTA CRUZ,0.32331288343558284,10
1017,60 y más,HOMBRES,217,NUEVO MILENIO SANTA CRUZ,0.13312883435582823,4
