"seccion","g_etario","sexo","n","pct","enc.3","encuestas"
1062,"25 a 59","HOMBRES",974,0.3084230525649145,30,9
1062,"25 a 59","MUJERES",1162,0.36795440151994935,30,11
1062,"60 y más","HOMBRES",236,0.07473084230525649,30,2
1062,"60 y más","MUJERES",227,0.07188093730208993,30,2
1126,"18 a 24","HOMBRES",108,0.06581352833638025,34,2
1126,"18 a 24","MUJERES",103,0.0627666057282145,34,2
1126,"25 a 59","HOMBRES",512,0.3120048750761731,34,11
1126,"25 a 59","MUJERES",622,0.3790371724558197,34,13
1126,"60 y más","HOMBRES",130,0.07921998781230957,34,3
1126,"60 y más","MUJERES",166,0.101157830591103,34,3
1132,"18 a 24","HOMBRES",91,0.07428571428571429,34,3
1132,"18 a 24","MUJERES",87,0.07102040816326531,34,2
1132,"25 a 59","HOMBRES",398,0.3248979591836735,34,11
1132,"25 a 59","MUJERES",438,0.3575510204081633,34,12
1132,"60 y más","HOMBRES",81,0.06612244897959184,34,2
1132,"60 y más","MUJERES",130,0.10612244897959185,34,4
1135,"18 a 24","HOMBRES",94,0.06676136363636363,34,2
1135,"18 a 24","MUJERES",93,0.06605113636363637,34,2
1135,"25 a 59","HOMBRES",444,0.3153409090909091,34,11
1135,"25 a 59","MUJERES",505,0.3586647727272727,34,12
1135,"60 y más","HOMBRES",116,0.08238636363636363,34,3
1135,"60 y más","MUJERES",156,0.11079545454545454,34,4
1313,"18 a 24","HOMBRES",65,0.08135168961201501,31,3
1313,"18 a 24","MUJERES",55,0.0688360450563204,31,2
1313,"25 a 59","HOMBRES",252,0.31539424280350437,31,10
1313,"25 a 59","MUJERES",288,0.360450563204005,31,11
1313,"60 y más","HOMBRES",64,0.08010012515644556,31,2
1313,"60 y más","MUJERES",75,0.09386733416770963,31,3
1326,"18 a 24","HOMBRES",85,0.08947368421052632,31,3
1326,"18 a 24","MUJERES",63,0.06631578947368422,31,2
1326,"25 a 59","HOMBRES",300,0.3157894736842105,31,10
1326,"25 a 59","MUJERES",316,0.33263157894736844,31,10
1326,"60 y más","HOMBRES",83,0.08736842105263158,31,3
1326,"60 y más","MUJERES",103,0.10842105263157896,31,3
1327,"18 a 24","HOMBRES",112,0.0779401530967293,31,2
1327,"18 a 24","MUJERES",123,0.08559498956158663,31,3
1327,"25 a 59","HOMBRES",426,0.2964509394572025,31,9
1327,"25 a 59","MUJERES",475,0.33054975643702156,31,10
1327,"60 y más","HOMBRES",136,0.09464161447459986,31,3
1327,"60 y más","MUJERES",165,0.11482254697286012,31,4
1329,"18 a 24","HOMBRES",107,0.05619747899159664,31,2
1329,"18 a 24","MUJERES",140,0.07352941176470588,31,2
1329,"25 a 59","HOMBRES",540,0.28361344537815125,31,9
1329,"25 a 59","MUJERES",630,0.33088235294117646,31,10
1329,"60 y más","HOMBRES",201,0.1055672268907563,31,3
1329,"60 y más","MUJERES",286,0.15021008403361344,31,5
1632,"18 a 24","HOMBRES",127,0.08043065231158962,32,3
1632,"18 a 24","MUJERES",137,0.08676377454084863,32,3
1632,"25 a 59","HOMBRES",525,0.3324889170360988,32,11
1632,"25 a 59","MUJERES",565,0.3578214059531349,32,11
1632,"60 y más","HOMBRES",104,0.06586447118429385,32,2
1632,"60 y más","MUJERES",121,0.0766307789740342,32,2
1647,"18 a 24","HOMBRES",104,0.05790645879732739,32,2
1647,"18 a 24","MUJERES",126,0.07015590200445435,32,2
1647,"25 a 59","HOMBRES",536,0.2984409799554566,32,10
1647,"25 a 59","MUJERES",630,0.3507795100222717,32,11
1647,"60 y más","HOMBRES",174,0.09688195991091314,32,3
1647,"60 y más","MUJERES",226,0.12583518930957685,32,4
1692,"18 a 24","HOMBRES",63,0.05822550831792976,32,2
1692,"18 a 24","MUJERES",65,0.06007393715341959,32,2
1692,"25 a 59","HOMBRES",340,0.3142329020332717,32,10
1692,"25 a 59","MUJERES",383,0.3539741219963031,32,11
1692,"60 y más","HOMBRES",95,0.0878003696857671,32,3
1692,"60 y más","MUJERES",136,0.1256931608133087,32,4
1707,"18 a 24","HOMBRES",168,0.06829268292682927,32,2
1707,"18 a 24","MUJERES",147,0.05975609756097561,32,2
1707,"25 a 59","HOMBRES",737,0.2995934959349594,32,10
1707,"25 a 59","MUJERES",858,0.348780487804878,32,11
1707,"60 y más","HOMBRES",239,0.09715447154471545,32,3
1707,"60 y más","MUJERES",311,0.1264227642276423,32,4
1749,"18 a 24","HOMBRES",415,0.07354244196349459,30,2
1749,"18 a 24","MUJERES",453,0.08027644869750133,30,2
1749,"25 a 59","HOMBRES",1857,0.32908027644869753,30,10
1749,"25 a 59","MUJERES",2168,0.3841928052454368,30,12
1749,"60 y más","HOMBRES",316,0.05599858231437179,30,2
1749,"60 y más","MUJERES",434,0.07690944533049796,30,2
1832,"18 a 24","HOMBRES",171,0.06976744186046512,56,4
1832,"18 a 24","MUJERES",250,0.10199918400652797,56,6
1832,"25 a 59","HOMBRES",775,0.31619747042023666,56,18
1832,"25 a 59","MUJERES",834,0.3402692778457772,56,19
1832,"60 y más","HOMBRES",232,0.09465524275805794,56,5
1832,"60 y más","MUJERES",189,0.07711138310893513,56,4
1833,"18 a 24","HOMBRES",258,0.09106953759265796,56,5
1833,"18 a 24","MUJERES",253,0.08930462407342041,56,5
1833,"25 a 59","HOMBRES",890,0.3141546064242852,56,18
1833,"25 a 59","MUJERES",979,0.3455700670667137,56,19
1833,"60 y más","HOMBRES",240,0.08471584892340275,56,5
1833,"60 y más","MUJERES",213,0.07518531591951995,56,4
1834,"18 a 24","HOMBRES",152,0.07565953210552513,56,4
1834,"18 a 24","MUJERES",156,0.07765057242409158,56,4
1834,"25 a 59","HOMBRES",569,0.28322548531607766,56,16
1834,"25 a 59","MUJERES",702,0.34942757590841217,56,20
1834,"60 y más","HOMBRES",219,0.1090094574415132,56,6
1834,"60 y más","MUJERES",211,0.10502737680438028,56,6
1835,"18 a 24","HOMBRES",209,0.0953032375740994,56,5
1835,"18 a 24","MUJERES",172,0.0784313725490196,56,4
1835,"25 a 59","HOMBRES",654,0.2982216142270862,56,17
1835,"25 a 59","MUJERES",730,0.3328773369813042,56,19
1835,"60 y más","HOMBRES",226,0.10305517555859552,56,6
1835,"60 y más","MUJERES",202,0.09211126310989512,56,5
1929,"18 a 24","HOMBRES",227,0.1260410882842865,135,17
1929,"18 a 24","MUJERES",235,0.1304830649639089,135,18
1929,"25 a 59","HOMBRES",537,0.29816768461965576,135,40
1929,"25 a 59","MUJERES",608,0.3375902276513048,135,46
1929,"60 y más","HOMBRES",83,0.04608550805108273,135,6
1929,"60 y más","MUJERES",111,0.06163242642976124,135,8
1977,"18 a 24","HOMBRES",75,0.0791974656810982,31,2
1977,"18 a 24","MUJERES",97,0.102428722280887,31,3
1977,"25 a 59","HOMBRES",299,0.31573389651531153,31,10
1977,"25 a 59","MUJERES",381,0.40232312565997885,31,12
1977,"60 y más","HOMBRES",48,0.05068637803590285,31,2
1977,"60 y más","MUJERES",47,0.04963041182682154,31,2
1995,"18 a 24","HOMBRES",89,0.08855721393034825,31,3
1995,"18 a 24","MUJERES",81,0.08059701492537313,31,2
1995,"25 a 59","HOMBRES",307,0.3054726368159204,31,9
1995,"25 a 59","MUJERES",348,0.34626865671641793,31,11
1995,"60 y más","HOMBRES",85,0.0845771144278607,31,3
1995,"60 y más","MUJERES",95,0.0945273631840796,31,3
2028,"18 a 24","HOMBRES",88,0.07829181494661921,32,3
2028,"18 a 24","MUJERES",96,0.08540925266903915,32,3
2028,"25 a 59","HOMBRES",360,0.3202846975088968,32,10
2028,"25 a 59","MUJERES",437,0.3887900355871886,32,12
2028,"60 y más","HOMBRES",69,0.06138790035587188,32,2
2028,"60 y más","MUJERES",74,0.06583629893238434,32,2
952,"18 a 24","HOMBRES",7940,0.08948999718230488,33,3
952,"18 a 24","MUJERES",8202,0.09244294167371092,33,3
952,"25 a 59","HOMBRES",29123,0.32823894054663283,33,11
952,"25 a 59","MUJERES",31853,0.3590081713158636,33,12
952,"60 y más","HOMBRES",5940,0.06694843617920541,33,2
952,"60 y más","MUJERES",5667,0.06387151310228233,33,2
1731,"18 a 24","HOMBRES",34446,0.07788032394741959,30,2
